scientificName	scientificNameID	aphiaid	kingdom	phylum	class	order	family	genus	scientificname	rank	id
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.1
Clausocalanus furcatus	urn:lsid:marinespecies.org:taxname:104503	104503	Animalia	Arthropoda	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus furcatus	Species	asv.2
Eurotatoria	urn:lsid:marinespecies.org:taxname:368537	368537	Animalia	Rotifera	Eurotatoria				Eurotatoria	Class	asv.3
Arthropoda	urn:lsid:marinespecies.org:taxname:1065	1065	Animalia	Arthropoda					Arthropoda	Phylum	asv.4
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.5
Farranula gibbula	urn:lsid:marinespecies.org:taxname:346477	346477	Animalia	Arthropoda	Copepoda	Cyclopoida	Corycaeidae	Farranula	Farranula gibbula	Species	asv.6
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.7
Metazoa	urn:lsid:marinespecies.org:taxname:1486573	1486573	Animalia						Metazoa	Subkingdom	asv.8
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.9
Metazoa	urn:lsid:marinespecies.org:taxname:1486573	1486573	Animalia						Metazoa	Subkingdom	asv.10
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.11
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.12
											asv.13
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.14
Clausocalanus furcatus	urn:lsid:marinespecies.org:taxname:104503	104503	Animalia	Arthropoda	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus furcatus	Species	asv.15
Clausocalanus furcatus	urn:lsid:marinespecies.org:taxname:104503	104503	Animalia	Arthropoda	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus furcatus	Species	asv.16
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.17
											asv.18
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.19
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.20
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.21
Arthropoda	urn:lsid:marinespecies.org:taxname:1065	1065	Animalia	Arthropoda					Arthropoda	Phylum	asv.22
Arthropoda	urn:lsid:marinespecies.org:taxname:1065	1065	Animalia	Arthropoda					Arthropoda	Phylum	asv.23
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.24
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.25
Metazoa	urn:lsid:marinespecies.org:taxname:1486573	1486573	Animalia						Metazoa	Subkingdom	asv.26
Arthropoda	urn:lsid:marinespecies.org:taxname:1065	1065	Animalia	Arthropoda					Arthropoda	Phylum	asv.27
Clausocalanus furcatus	urn:lsid:marinespecies.org:taxname:104503	104503	Animalia	Arthropoda	Copepoda	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus furcatus	Species	asv.28
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.29
Farranula gibbula	urn:lsid:marinespecies.org:taxname:346477	346477	Animalia	Arthropoda	Copepoda	Cyclopoida	Corycaeidae	Farranula	Farranula gibbula	Species	asv.30
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.31
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.32
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.33
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.34
Arthropoda	urn:lsid:marinespecies.org:taxname:1065	1065	Animalia	Arthropoda					Arthropoda	Phylum	asv.35
Metazoa	urn:lsid:marinespecies.org:taxname:1486573	1486573	Animalia						Metazoa	Subkingdom	asv.36
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.37
Incertae sedis	urn:lsid:marinespecies.org:taxname:12	12	Biota incertae sedis						Biota incertae sedis	Kingdom	asv.38
											asv.39
Metazoa	urn:lsid:marinespecies.org:taxname:1486573	1486573	Animalia						Metazoa	Subkingdom	asv.40
Metazoa	urn:lsid:marinespecies.org:taxname:1486573	1486573	Animalia						Metazoa	Subkingdom	asv.41
Metazoa	urn:lsid:marinespecies.org:taxname:1486573	1486573	Animalia						Metazoa	Subkingdom	asv.42
Phaeocystis	urn:lsid:marinespecies.org:taxname:115088	115088	Chromista	Haptophyta	Coccolithophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis	Genus	asv.43
Arthropoda	urn:lsid:marinespecies.org:taxname:1065	1065	Animalia	Arthropoda					Arthropoda	Phylum	asv.44
